Institution,course_number,Launch Date,Course Title,Instructors,Course Subject,Topics,Description,TopicsLearned,Year,Honor Code Certificates,Participants (Course Content Accessed),Audited (> 50% Course Content Accessed),Certified,% Audited,% Certified,% Certified of > 50% Course Content Accessed,% Played Video,% Posted in Forum,% Grade Higher Than Zero,Total Course Hours (Thousands),Median Hours for Certification,Median Age,% Male,% Female,% Bachelor's Degree or Higher
HarvardX,1368.3x,01/05/2015,"Saving Schools: History, Politics, and Policy of U.S. Education â€“ Accountability and National Standards",Paul Peterson,"Humanities, History, Design, Religion, and Education","Education & Teaching, Political Science, History","This course seeks to answer the question: how did a school system, once the envy of the world, stumble so that the performance in math, science, and reading of U.S. students at age 15 fell below that of students in a majority of the world’s industrialized nations?","The status of the U.S. Education system compared to countries around the world;, The way in which teachers are currently paid and alternative proposals for paying teachers;, The finances and economics of education;, The theories and implementation of alternative schools of choice (via vouchers or charter schools) in the U.S.;, The development and possible future for digital learning in the U.S.",3,1,1483,641,400,43.25,26.99,62.25,64.51,12.75,49.73,3.4,4.67,34,46.56,53.44,80.97
HarvardX,1368.4x,02/09/2015,"Saving Schools: History, Politics, and Policy in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education","Education & Teaching, Political Science, History","This course seeks to answer the question: how did a school system, once the envy of the world, stumble so that the performance in math, science, and reading of U.S. students at age 15 fell below that of students in a majority of the world’s industrialized nations?","The status of the U.S. Education system compared to countries around the world;, The way in which teachers are currently paid and alternative proposals for paying teachers;, The finances and economics of education;, The theories and implementation of alternative schools of choice (via vouchers or charter schools) in the U.S.;, The development and possible future for digital learning in the U.S.",3,1,1465,578,380,39.48,25.96,64.71,62.91,19.06,45.22,3.16,4.86,35,48.5,51.5,81.63
MITx,14.73x(old),02/04/2014,Challenges of World Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",Social Sciences,"This is a course for those who are interested in the challenge posed by massive and persistent world poverty, and are hopeful that economists might have something useful to say about this challenge. The questions we will take up include: Is extreme poverty a thing of the past? What is economic life like when living under a dollar per day? Are the poor always hungry?","To identify and analyze some of the root causes of underdevelopment using principles of economics, To understand the unique constraints and trade-offs the poor face when making decisions, How to interpret the findings of empirical research that evaluates the effectiveness of anti-poverty strategies, policies, and interventions (including strengths and weaknesses of research), A basic understanding of various econometric tools used in development research, which will provide the foundation for participating in more technical courses in development economics",2,1,11102,1825,1173,16.44,10.57,64.16,70.88,11.33,35.45,84.99,42.26,29,51.48,48.52,78.8
MITx,14.73x,02/03/2015,The Challenges of Global Poverty,"Duflo, Banerjee","Government, Health, and Social Science",Social Sciences,"This is a course for those who are interested in the challenge posed by massive and persistent world poverty, and are hopeful that economists might have something useful to say about this challenge. The questions we will take up include: Is extreme poverty a thing of the past? What is economic life like when living under a dollar per day? Are the poor always hungry?","To identify and analyze some of the root causes of underdevelopment using principles of economics, To understand the unique constraints and trade-offs the poor face when making decisions, How to interpret the findings of empirical research that evaluates the effectiveness of anti-poverty strategies, policies, and interventions (including strengths and weaknesses of research), A basic understanding of various econometric tools used in development research, which will provide the foundation for participating in more technical courses in development economics",3,1,7664,908,594,11.85,7.75,65.42,67.18,5.78,30.3,66.87,61.4,28,51.51,48.49,78.56
MITx,14.74x,09/21/2015,Foundations of Development Policy: Advanced Development Economics,"Abhijit Vinayak Banerjee, Esther Duflo, Benjamin Olken","Government, Health, and Social Science","Social Sciences, Economics","In this course, we will study the different facets of human development in topics such as education, health, gender, the family, land relations, risk, informal and formal norms, public policy, and institutions. While studying each of these topics, we will delve into the following questions:","Lessons from cutting edge research in development across a range of topics, How to build and apply economic models relevant to concrete development situations, How to design and conduct a randomized control trial to learn more about these questions, Data management and analysis using the software R",4,1,7532,742,360,9.85,4.78,48.52,58.87,6.63,27.02,77.46,104.81,28,59.91,40.09,85.32
MITx,15.071x,03/04/2014,The Analytics Edge,Dimitris Bertsimas,"Government, Health, and Social Science",Data Analysis & Statistics,"In this course, you will learn how to use data and analytics to give an edge to your career and your life. We will examine real world examples of how analytics have been used to significantly improve a business or industry. These examples include Moneyball, eHarmony, the Framingham Heart Study, Twitter, IBM Watson, and Netflix","An applied understanding of many different analytics methods, including linear regression, logistic regression, CART, clustering, and data visualization, How to implement all of these methods in R, An applied understanding of mathematical optimization and how to solve optimization models in spreadsheet software",2,1,31391,4782,1790,15.23,5.7,37.43,73.93,6.68,21.51,313.27,81.94,31,81,19,87.62
MITx,15.390.1x,01/09/2015,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",Business & Management,"You will learn, through the stories of MIT entrepreneurs, how to go from idea or technology to the necessary understanding of who and why someone will want to buy your product. This course will guide you through the core frameworks you will need to build a strong foundation for your venture by understanding your customer., , Beginning with market segmentation, we will guide you through identifying a market you can dominate. Next, we will help you narrow down to a specific beachhead market to launch your business. Once you have identified a specific market, you will learn how to research and craft an end user profile. Lastly, you will be able to estimate your market size and create a persona based off of a real customer. Throughout these steps, you will gain an in-depth understanding of who your customer is and how to select the right market.","Segmenting your market, Selecting a Beachhead market, Creating an end user profile, Researching your Total Addressable Market, How to create, understand, and find a persona",3,1,30780,7955,2689,25.84,8.74,32.13,75.53,15.29,13.53,110.41,12.23,29,78.22,21.78,72.88
MITx,15.390.2x,01/09/2015,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,"Government, Health, and Social Science",Business & Management,Ask not what your customer can do for you – ask what you can do for your customer. Just as important as finding your customer is creating a great product that will solve the customer’s problem.  How will customers acquire your product?  How will it solve the customer’s problem? What value will your product bring?  What is your secret sauce?  How do you stack up vis-?-vis the competition?,"From fields as diverse as virtual immortality, small business marketing, urban design, language education, healthcare, and entrepreneur support services, we use in-depth case studies of entrepreneurs to examine how they developed their product concepts, solved their customer’s problem, established a clear value proposition, refined their secret sauce, and understood their competition.",3,1,13173,3443,574,26.14,4.36,15.16,61.35,4.33,5.79,33.06,11.65,30,77.65,22.35,76.93
MITx,15.390x,03/18/2014,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",Business & Management,"You will learn, through the stories of MIT entrepreneurs, how to go from idea or technology to the necessary understanding of who and why someone will want to buy your product. This course will guide you through the core frameworks you will need to build a strong foundation for your venture by understanding your customer., , Beginning with market segmentation, we will guide you through identifying a market you can dominate. Next, we will help you narrow down to a specific beachhead market to launch your business. Once you have identified a specific market, you will learn how to research and craft an end user profile. Lastly, you will be able to estimate your market size and create a persona based off of a real customer. Throughout these steps, you will gain an in-depth understanding of who your customer is and how to select the right market.","Segmenting your market, Selecting a Beachhead market, Creating an end user profile, Researching your Total Addressable Market, How to create, understand, and find a persona",2,1,36330,9197,2043,25.32,5.62,20.34,73.84,15.46,10.48,108.97,10.46,30,75.09,24.91,74.9
MITx,15.662x,03/28/2016,Shaping the Future of Work,"Thomas Kochan, Gokce Basbug, Meryam Bukari, Shahid Azad, Kanika Almadi","Government, Health, and Social Science",Business & Management,"Are you concerned about the impact of new technologies will have on the workforce? Are you interested in what you can do to build a better work for yourself and the next generation? If we take the right actions, we can shape the future of work in ways that meet the needs of workers, families, and their economies and societies.","A historical perspective and overview of work and employment policy in the United States and around the world, How the roles of firms, employees, and public policy have changed and created the labor market we see today, The status of the current labor market in more detail: What does it look like? What types of jobs do we have, and what skills are required? What are emerging trends in how firms organize work, and in the role of labor market institutions such as unions?, How emerging technologies are transforming the nature of human work and skills needed, and how we can shape technology innovation to augment human potential., Ways that the government and other civic institutions can ensure that the gains from emerging innovations contribute to equality of opportunity, social inclusion, and shared prosperity., Resources and tools you can use to plan your own career paths in the workplaces of the future - those of the next generation.",4,0,2583,446,51,17.27,1.97,11.43,65.51,12.08,19.36,10.78,27.19,30,64.17,35.83,76.56
MITx,15.662x(old),03/23/2015,The American Dream for the Next Generation,Thomas Kochan,"Government, Health, and Social Science","Business & Management, Finance","Are you concerned about the impact of new technologies will have on the workforce? Are you interested in what you can do to build a better work for yourself and the next generation? If we take the right actions, we can shape the future of work in ways that meet the needs of workers, families, and their economies and societies.","A historical perspective and overview of work and employment policy in the United States and around the world, How the roles of firms, employees, and public policy have changed and created the labor market we see today, The status of the current labor market in more detail: What does it look like? What types of jobs do we have, and what skills are required? What are emerging trends in how firms organize work, and in the role of labor market institutions such as unions?, How emerging technologies are transforming the nature of human work and skills needed, and how we can shape technology innovation to augment human potential., Ways that the government and other civic institutions can ensure that the gains from emerging innovations contribute to equality of opportunity, social inclusion, and shared prosperity., Resources and tools you can use to plan your own career paths in the workplaces of the future - those of the next generation.",3,1,5084,1039,277,20.44,5.45,26.66,69.81,10.64,25.83,20.5,21.18,29,63.13,36.87,73.47
MITx,15.671x,09/10/2015,"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science","Philosophy, Education","This highly experiential course is based on Theory U, a framework, method, and way of connecting to the more authentic aspects of our self. It introduces the variable of consciousness into management and the social sciences, and proposes that the quality of the results that we create in any kind of social system is a function of the quality of awareness, attention or consciousness that the participants in the system operate from. This approach to leading change is practiced by business, government, and civil society leaders around the world – many of whom you will meet during this course. ","A historical perspective and overview of work and employment policy in the United States and around the world, How the roles of firms, employees, and public policy have changed and created the labor market we see today, The status of the current labor market in more detail: What does it look like? What types of jobs do we have, and what skills are required? What are emerging trends in how firms organize work, and in the role of labor market institutions such as unions?, How emerging technologies are transforming the nature of human work and skills needed, and how we can shape technology innovation to augment human potential., Ways that the government and other civic institutions can ensure that the gains from emerging innovations contribute to equality of opportunity, social inclusion, and shared prosperity., Resources and tools you can use to plan your own career paths in the workplaces of the future - those of the next generation.",4,1,23087,4711,1606,20.41,6.96,33.47,62.56,0,19.73,166.11,31.24,39,51.21,48.79,86.69
MITx,15.S23x,01/07/2015,"Transforming Business, Society, and Self",Otto Scharmer,"Government, Health, and Social Science","Philosophy, Education","This highly experiential course is based on Theory U, a framework, method, and way of connecting to the more authentic aspects of our self. It introduces the variable of consciousness into management and the social sciences, and proposes that the quality of the results that we create in any kind of social system is a function of the quality of awareness, attention or consciousness that the participants in the system operate from. This approach to leading change is practiced by business, government, and civil society leaders around the world – many of whom you will meet during this course. ","A historical perspective and overview of work and employment policy in the United States and around the world, How the roles of firms, employees, and public policy have changed and created the labor market we see today, The status of the current labor market in more detail: What does it look like? What types of jobs do we have, and what skills are required? What are emerging trends in how firms organize work, and in the role of labor market institutions such as unions?, How emerging technologies are transforming the nature of human work and skills needed, and how we can shape technology innovation to augment human potential., Ways that the government and other civic institutions can ensure that the gains from emerging innovations contribute to equality of opportunity, social inclusion, and shared prosperity., Resources and tools you can use to plan your own career paths in the workplaces of the future - those of the next generation.",3,1,21420,4958,2416,23.15,11.28,46.73,57.25,0,20.5,82.24,15.54,38,54.26,45.74,84.87
MITx,16.00x,03/03/2015,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,Jeffrey Hoffman,"Science, Technology, Engineering, and Mathematics",engineering,16.00x makes the basics of spaceflight accessible to everyone as he teaches you the core principles behind space travel and exploration,"The basic principles of how rockets work (rocket science), How spacecraft move in orbit (orbital mechanics), What is required to keep astronauts alive and healthy in space (environmental control and life support), Basic concepts of safety and risk management, The effects of weightlessness on the human body, How to carry out a spacewalk",3,1,13525,3638,885,26.9,6.54,24.33,70.59,10.03,24.39,121.16,47.06,24,84.5,15.5,52.15
MITx,16.101x,09/28/2015,Introduction to Aerodynamics,David L. Darmofal,"Science, Technology, Engineering, and Mathematics",Engineering,"This aerodynamics course focuses on the study of the flow of air about a body, and the “body” will be an airplane, but many of the concepts explored are relevant to a wide variety of applications from sailboats to automobiles to birds. Learners completing this aerodynamics course will gain a fundamental understanding of concepts and models used to aerodynamically analyze and design subsonic, transonic, and supersonic aircraft.","Basics of aerodynamics, Fundamentals of potential flows from subsonic to supersonic speeds, Viscous flows including laminar and turbulent boundary layers, Aerodynamic models of airfoils and wings",4,1,18732,736,66,3.93,0.35,8.83,0,2.68,4.6,51.1,138.06,23,89.27,10.73,53.08
MITx,16.110x,03/05/2014,Flight Vehicle Aerodynamics,Mark Drela,"Science, Technology, Engineering, and Mathematics",Math,"This course covers the physics, concepts, theories, and models underlying the discipline of aerodynamics","To model and predict the aerodynamic flows about wings and bodies, To quantify the role of viscous boundary layers in producing drag and limiting lift, To quantify and optimize the lift distribution on aircraft wings, To reduce and analyze experimental flow survey data to determine profile drag, To describe the motion of a maneuvering aircraft and quantify its aerodynamic forces, To predict the airloads on unsteady airfoils, To estimate the effects of compressibility in high-speed aerodynamic flows",2,1,11883,692,101,5.82,0.85,14.6,47.62,2.95,6.19,34.28,112.92,25,91.48,8.52,60.98
MITx,18.01.1x,06/02/2015,Calculus: Differentiation,David Jerison,"Science, Technology, Engineering, and Mathematics",Math,How does the final velocity on a zip line change when the starting point is raised or lowered by a matter of centimeters? What is the accuracy of a GPS position measurement? How fast should an airplane travel to minimize fuel consumption? The answers to all of these questions involve the derivative.,"How to evaluate limits graphically and numerically, The physical meaning, and geometric interpretation of the derivative, To calculate the derivative of any function, To sketch many functions by hand, To make linear and quadratic approximations of functions, To apply derivatives to maximize and minimize functions and find related rates",3,1,18266,3734,658,20.44,3.6,17.62,63.22,5.68,20.32,218.27,117.82,26,79.66,20.34,55.67
MITx,18.01.2x,12/01/2015,Calculus: Integration,David Jerison,"Science, Technology, Engineering, and Mathematics",Math,"But what is an integral? You will learn to interpret it geometrically as an area under a graph, and discover its connection to the derivative","Some differential equation models for physical phenomena and solutions, The geometric interpretation, and physical meaning of the integral, The connection of the integral to the derivative, Several methods of numerically and symbolically integrating functions, To apply integrals to solve real world problems",4,1,7260,1216,336,16.75,4.63,27.63,59.39,5.99,17.41,114.85,170.68,25,81.46,18.54,51.52
MITx,18.01.3x,03/29/2016,Calculus: Coordinate Systems and Infinite Series,David Jerison,"Science, Technology, Engineering, and Mathematics",Math,"How does a computer make accurate computations? Absolute precision does not exist in the real world, and computers cannot handle infinitesimals or infinity. Fortunately, just as we approximate numbers using the decimal system, we can approximate functions using series of much simpler functions","To compute arc length, Methods for parameterizing curves, To do calculus in polar coordinates, How to approximate functions with Taylor polynomials, To determine convergence properties of infinite series",4,1,3749,1206,233,32.17,6.21,19.32,55.75,0.16,22.99,44.72,90.87,25,83.4,16.6,58.93
MITx,2.01x(old),04/15/2013,Elements of Structures,"Simona Socrate, Alexie Kolpak","Science, Technology, Engineering, and Mathematics",Engineering,"2.01x introduces principles of structural analysis and strength of materials in applications to three essential types of elastic load-bearing elements: bars in axial loading, axisymmetric shafts in torsion, and symmetric beams in bending. The course covers fundamental concepts of continuum mechanics, including internal resultants, displacement field, stress, and strain.","In 2.01x you will:, Use free body diagrams to formulate equilibrium equations;, Identify geometric constraints to formulate compatibility equations;, Understand the concepts of stress and strain at a material point., For three fundamental types of slender structural elements (elastic bars, beams and shafts) you will learn:, to calculate internal stress and strain fields in the loaded elements;, to predict the deformation in the loaded elements;, to design structural elements so as to prevent failure;, to use numerical methods (MATLAB) in structural engineering application.",1,1,8736,1705,817,19.52,9.35,47.86,81.82,11.42,29.98,84.75,52.13,27,86.22,13.78,64.45
MITx,2.01x,06/22/2016,Elements of Structures,"Simona Socrate, Alexie M. Kolpak","Science, Technology, Engineering, and Mathematics",Engineering,"2.01x introduces principles of structural analysis and strength of materials in applications to three essential types of elastic load-bearing elements: bars in axial loading, axisymmetric shafts in torsion, and symmetric beams in bending. The course covers fundamental concepts of continuum mechanics, including internal resultants, displacement field, stress, and strain.","In 2.01x you will:, Use free body diagrams to formulate equilibrium equations;, Identify geometric constraints to formulate compatibility equations;, Understand the concepts of stress and strain at a material point., For three fundamental types of slender structural elements (elastic bars, beams and shafts) you will learn:, to calculate internal stress and strain fields in the loaded elements;, to predict the deformation in the loaded elements;, to design structural elements so as to prevent failure;, to use numerical methods (MATLAB) in structural engineering application.",4,0,4014,515,46,12.83,1.15,8.93,66.87,5.75,11.96,27.31,75.91,25,86.64,13.36,64.59
MITx,2.03x,10/28/2013,Dynamics and Control I,David Gossard,"Science, Technology, Engineering, and Mathematics",Mechanical Engineering,Introduction to the dynamics and vibrations of lumped-parameter models of mechanical systems. Kinematics. Force-momentum formulation for systems of particles and rigid bodies in planar motion. Work-energy concepts. Virtual displacements and virtual work. Lagrange's equations for systems of particles and rigid bodies in planar motion. Linearization of equations of motion. Linear stability analysis of mechanical systems. Free and forced vibration of linear multi-degree of freedom models of mechanical systems; matrix eigenvalue problems. Introduction to numerical methods and MATLAB® to solve dynamics and vibrations problems.,"Characterizing the dynamic behavior of systems and the possibility to change it by introducing control devices is the main aim of the course. You will:, , learn to analyze the dynamic properties of a system and the options to change its behavior according to some requirements., learn the basic concepts to undertake further studies in control engineering., see examples of its use in a variety of disciplines, from human and social sciences to any engineering field.",2,1,18424,2079,398,11.28,2.16,19.1,61.3,3.16,19.71,60.99,43.14,25,88.6,11.4,58.89
MITx,20.305x,10/05/2015,Principles of Synthetic Biology,"Adam Arkin, Ron Weiss","Science, Technology, Engineering, and Mathematics",Computer Science,"Do you like biology, biotechnology, or genetic engineering? Are you interested in computer science, engineering, or design? Synthetic Biology is an innovative field bringing together these subject areas and many more to create useful tools to solve everyday problems.","Modern techniques in DNA assembly and regulation of gene expression and protein activity, How to design basic biological circuits, Principles for scaling up and creating large-scale biological circuits and regulatory networks, Basic ODE modeling of biological systems with MATLAB, introduction to Cello: genetic circuit design automation software",4,1,11574,418,106,3.61,0.92,25.12,54.94,4.18,5.19,83.14,181.45,25,72.81,27.19,66.14
MITx,21W.789.2x,02/29/2016,Mobile Application Experiences: Mobile App Design,"Frank Bentley, Ed Barrett",Computer Science,Computer Science,"How do you design a mobile app that truly changes people's lives? How can you understand how a new service is being used, both quantitatively and qualitatively? How can you use all of the rich sensing and I/O capabilities of mobile devices to create experiences that go far beyond what's possible on a traditional computer?","Identifying key use cases based on user data, Turning use cases into designs and interaction flows, Creating a paper prototype of your design, Understanding initial usability in an evaluation of your paper prototype",4,0,4522,1324,27,29.28,0.6,2.04,54.49,1.81,10.37,5.8,13.11,27,75.3,24.7,72.03
MITx,21W.789.3x,03/28/2016,Mobile Application Experiences: Building Mobile Apps,"Frank Bentley, Ed Barrett",Computer Science,Computer Science,"How do you design a mobile app that truly changes people's lives? How can you understand how a new service is being used, both quantitatively and qualitatively? How can you use all of the rich sensing and I/O capabilities of mobile devices to create experiences that go far beyond what's possible on a traditional computer?","To understand the entire HCI design process, as applied to mobile applications, To construct a novel mobile application and assess its use in daily life for two weeks, To prepare and evaluate three different types of HCI research studies (generative, usability, and field studies), related to the topic of your application, To identify and discuss papers from the CHI research community and design and compose your own CHI-style paper",4,0,4276,1000,9,23.39,0.21,0.9,52.78,1.29,5,4.28,14.64,25,82.65,17.35,63.35
MITx,21W.789.4x,04/25/2016,Mobile Application Experiences: Understanding Use,"Frank Bentley, Ed Barrett",Computer Science,Computer Science,"How do you design a mobile app that truly changes people's lives? How can you understand how a new service is being used, both quantitatively and qualitatively? How can you use all of the rich sensing and I/O capabilities of mobile devices to create experiences that go far beyond what's possible on a traditional computer?","To understand the entire HCI design process, as applied to mobile applications, To construct a novel mobile application and assess its use in daily life for two weeks, To prepare and evaluate three different types of HCI research studies (generative, usability, and field studies), related to the topic of your application, To identify and discuss papers from the CHI research community and design and compose your own CHI-style paper",4,0,664,228,5,34.34,0.75,2.19,43.37,1.2,9.49,0.62,7.38,29,79.28,20.72,77.39
MITx,21W.789.5x,05/23/2016,Mobile Application Experiences: Reporting Research Findings,"Frank Bentley, Ed Barrett",Computer Science,Computer Science,"How do you design a mobile app that truly changes people's lives? How can you understand how a new service is being used, both quantitatively and qualitatively? How can you use all of the rich sensing and I/O capabilities of mobile devices to create experiences that go far beyond what's possible on a traditional computer?","To understand the entire HCI design process, as applied to mobile applications, To construct a novel mobile application and assess its use in daily life for two weeks, To prepare and evaluate three different types of HCI research studies (generative, usability, and field studies), related to the topic of your application, To identify and discuss papers from the CHI research community and design and compose your own CHI-style paper",4,0,322,187,4,58.07,1.24,2.14,25.78,1.55,1.86,0.11,6.88,29,76.1,23.9,72.45
MITx,21W.789x,02/04/2014,Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,Computer Science,"The methods outlined apply user-centered design processes to mobile devices in a way that makes these methods relevant to the mobile experience—which involves the use of systems in the complex spatial and social world rather than at a desk. how each project begins with generative research into the practices and desires of a diverse set of potential users, which grounds research and design in the real world. It then describes methods for rapid prototyping, usability evaluation, field testing, and scaling up solutions in order to bring a product to market",,2,1,25886,1332,101,5.15,0.39,7.58,59.55,6.37,15.02,40.13,26.4,29,84.27,15.73,72.27
MITx,24.00x,10/01/2013,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",Philosophy,"This philosophy course has two goals. The first goal is to introduce you to the things that philosophers think about. We will look at some perennial philosophical problems:, , Is there a God?, What is knowledge, and how do we get it?, What is the place of our consciousness in the physical world?, Do we have free will?, How do we persist over time, as our bodily and psychological traits change?","How to construct and analyze philosophical arguments, How to write clearly and communicate complicated ideas effectively, Arguments for and against the existence of God, The distinction between epistemic and practical rationality, Theories of Knowledge, Physicalist and Non-Physicalist theories of consciousness, Free Will and Determinism, Personal Identity",2,1,34371,5554,1893,16.16,5.51,34.08,73.84,22.16,45.27,154.23,27.25,31,64.25,35.75,65
